name,location,line,votes,clears,createdAt,lastConfirmedAt
"Delayed train","South Station","Franklin Line - Outbound",0,0,2015-05-07T20:33:45.930Z,2015-05-07T20:33:45.930Z
"Delayed train","Park Street","Green Line B - Eastbound",0,0,2015-03-03T21:29:59.456Z,2015-03-03T21:29:59.456Z
"Delayed train","Downtown Crossing","Orange Line - Northbound",2,0,2015-05-08T22:24:42.214Z,2015-05-08T22:36:29.889Z
"Delayed train","South Station","Red Line - Southbound",0,0,2015-03-31T23:28:37.668Z,2015-03-31T23:28:37.668Z
"Train too crowded to board","Boylston","Green Line D - Westbound",0,0,2015-02-25T15:35:56.293Z,2015-02-25T15:35:56.293Z
"Delayed train","Andrew","Red Line - Northbound",0,0,2015-03-14T23:03:28.511Z,2015-03-14T23:03:28.511Z
"Overcrowded train","Porter Square","Red Line - Southbound",0,0,2015-04-01T12:17:16.539Z,2015-04-01T12:17:16.539Z
"Train standing by at station","Porter Square","Red Line - Northbound",0,0,2015-04-03T20:45:13.054Z,2015-04-03T20:45:13.054Z
"Delayed train","Davis","Red Line - Southbound",0,0,2015-03-11T13:06:49.826Z,2015-03-11T13:06:49.826Z
"Delayed bus","Silver Line Way","SL1 - Inbound",0,0,2015-07-21T03:19:37.248Z,2015-07-21T03:19:37.248Z
"Normal conditions","Forest Hills","Orange Line - Northbound",0,0,2015-04-07T22:20:52.390Z,2015-04-07T22:20:52.390Z
"Overcrowded train","Jackson Square","Orange Line - Northbound",0,1,2015-02-26T12:32:09.863Z,2015-02-26T12:32:09.863Z
"Delayed train","Alewife","Red Line - Southbound",0,0,2015-03-05T17:55:18.895Z,2015-03-05T17:55:18.895Z
"Delayed train","Central Square","Red Line - Southbound",0,0,2015-07-25T22:46:53.576Z,2015-07-25T22:46:53.576Z
"Delayed train","Downtown Crossing","Red Line - Northbound",1,5,2015-02-24T23:40:01.638Z,2015-02-24T23:50:51.870Z
"Delayed train","State","Blue Line - Northbound",0,0,2015-02-25T23:49:01.043Z,2015-02-25T23:49:01.043Z
"Normal conditions","Downtown Crossing","Red Line - Northbound",0,0,2015-03-23T22:48:46.724Z,2015-03-23T22:48:46.724Z
"Normal conditions","Harvard Square","Red Line - Northbound",0,0,2015-03-03T22:46:13.532Z,2015-03-03T22:46:13.532Z
"Delayed train","Porter Square","Red Line - Northbound",1,1,2015-02-26T23:35:29.692Z,2015-02-26T23:49:16.124Z
"Train too crowded to board","Copley","Green Line D - Westbound",0,0,2015-03-30T21:17:22.058Z,2015-03-30T21:17:22.058Z
"Overcrowded train","Hawes Street","Green Line C - Eastbound",0,0,2015-03-03T12:12:44.456Z,2015-03-03T12:12:44.456Z
"Train too crowded to board","Downtown Crossing","Red Line - Northbound",0,0,2015-03-07T00:55:31.012Z,2015-03-07T00:55:31.012Z
"Delayed train","Alewife","Red Line - Southbound",1,0,2015-03-04T14:35:50.124Z,2015-03-04T14:43:28.308Z
"Delayed train","North Station","Green Line E - Westbound",0,0,2015-03-06T12:40:42.138Z,2015-03-06T12:40:42.138Z
"Delayed train","Downtown Crossing","Red Line - Southbound",0,0,2015-03-13T21:16:31.426Z,2015-03-13T21:16:31.426Z
"Delayed bus","Terminal A","SL1 - Inbound",0,0,2015-04-17T15:30:06.668Z,2015-04-17T15:30:06.668Z
"Overcrowded platform","Symphony","Green Line E - Eastbound",0,0,2015-02-28T03:39:33.120Z,2015-02-28T03:39:33.120Z
"Train standing by at station","Downtown Crossing","Orange Line - Northbound",0,0,2015-05-20T22:29:12.795Z,2015-05-20T22:29:12.795Z
"Delayed train","Forest Hills","Orange Line - Northbound",1,1,2015-02-26T12:27:51.332Z,2015-02-26T12:31:39.925Z
"Delayed train","Back Bay","Framingham-Worcester Line - Outbound",0,0,2015-06-15T11:54:00.554Z,2015-06-15T11:54:00.554Z
"Delayed train","Charles/MGH","Red Line - Northbound",1,0,2015-03-02T23:16:52.724Z,2015-03-02T23:18:57.072Z
"Train stopped between stations","JFK/UMass","Red Line - Northbound",2,0,2015-03-02T13:03:41.778Z,2015-03-02T13:03:55.566Z
"Train too crowded to board","Downtown Crossing","Orange Line - Northbound",38,2,2015-02-25T22:21:08.854Z,2015-02-25T22:47:48.499Z
"Delayed train","Back Bay","Needham Line - Inbound",0,0,2015-05-15T15:32:47.481Z,2015-05-15T15:32:47.481Z
"Normal conditions","North Quincy","Red Line - Northbound",2,0,2015-02-26T12:42:19.951Z,2015-02-26T12:55:21.321Z
"Delayed train","South Station","Middleborough-Lakeville Line - Outbound",0,0,2015-04-22T21:48:30.189Z,2015-04-22T21:48:30.189Z
"Delayed train","Central Square","Red Line - Southbound",0,0,2015-03-09T13:58:49.192Z,2015-03-09T13:58:49.192Z
"Train standing by at station","Wellington","Orange Line - Southbound",1,0,2015-06-26T22:32:50.758Z,2015-06-26T22:43:30.791Z
"Delayed train","Boylston","Green Line E - Eastbound",0,0,2015-02-27T07:34:50.000Z,2015-02-27T07:34:50.000Z
"Normal conditions","Central Square","Red Line - Southbound",0,0,2015-05-05T12:49:26.762Z,2015-05-05T12:49:26.762Z
"Train stopped between stations","Park Street","Red Line - Northbound",1,0,2015-02-27T00:57:01.658Z,2015-02-27T00:58:46.680Z
"Train standing by at station","Ashmont","Red Line - Northbound",0,0,2015-07-23T03:23:05.475Z,2015-07-23T03:23:05.475Z
"Delayed train","Savin Hill","Red Line - Northbound",0,0,2015-03-06T20:27:14.341Z,2015-03-06T20:27:14.341Z
"Normal conditions","Chestnut Hill","Green Line D - Westbound",1,0,2015-02-26T22:27:24.302Z,2015-02-26T22:45:59.065Z
"Police action","South Station","Red Line - Northbound",1,0,2015-03-02T17:03:37.997Z,2015-03-02T17:04:40.914Z
"Delayed train","Broadway","Red Line - Northbound",1,0,2015-03-05T22:13:18.985Z,2015-03-05T22:21:43.084Z
"Delayed train","Back Bay","Orange Line - Southbound",0,0,2015-03-18T23:35:05.768Z,2015-03-18T23:35:05.768Z
"Normal conditions","Malden Center","Orange Line - Southbound",2,0,2015-02-26T02:36:00.887Z,2015-02-26T03:03:44.509Z
"Delayed train","Central Square","Red Line - Northbound",1,0,2015-05-02T18:21:05.700Z,2015-05-02T18:22:10.616Z
"Delayed train","Back Bay","Orange Line - Northbound",0,1,2015-02-27T22:02:57.635Z,2015-02-27T22:02:57.635Z
"Overcrowded train","Park Street","Red Line - Northbound",2,2,2015-02-24T23:18:21.585Z,2015-02-24T23:19:47.713Z
"Train stopped between stations","Park Street","Red Line - Northbound",2,0,2015-03-19T22:23:41.857Z,2015-03-19T22:25:09.693Z
"Normal conditions","Lowell","Lowell Line - Outbound",0,0,2015-03-18T22:32:29.296Z,2015-03-18T22:32:29.296Z
"Train too crowded to board","JFK/UMass","Red Line - Northbound",0,0,2015-05-29T12:37:30.992Z,2015-05-29T12:37:30.992Z
"Normal conditions","Malden Center","Orange Line - Southbound",0,0,2015-02-26T13:46:41.453Z,2015-02-26T13:46:41.453Z
"Delayed train","Alewife","Red Line - Southbound",0,0,2015-05-18T22:30:56.276Z,2015-05-18T22:30:56.276Z
"Delayed train","Chinatown","Orange Line - Northbound",1,0,2015-02-25T23:26:34.572Z,2015-02-25T23:38:30.283Z
"Disabled train","Central Square","Red Line - Southbound",0,0,2015-06-22T13:42:18.859Z,2015-06-22T13:42:18.859Z
"Normal conditions","Boston Univ. East","Green Line B - Eastbound",0,0,2015-04-15T14:42:38.227Z,2015-04-15T14:42:38.227Z
"Normal conditions","South Station","Red Line - Northbound",0,0,2015-02-25T22:58:16.029Z,2015-02-25T22:58:16.029Z
"Train too crowded to board","Park Street","Green Line E - Eastbound",0,0,2015-02-27T13:42:51.974Z,2015-02-27T13:42:51.974Z
"Train too crowded to board","Central Square","Red Line - Northbound",0,0,2015-05-18T21:21:16.071Z,2015-05-18T21:21:16.071Z
"Overcrowded train","Sullivan Square","Orange Line - Northbound",0,0,2015-02-27T22:48:12.023Z,2015-02-27T22:48:12.023Z
"Train stopped between stations","Alewife","Red Line - Northbound",0,0,2015-08-07T20:21:59.178Z,2015-08-07T20:21:59.178Z
"Train stopped between stations","Central Square","Red Line - Southbound",0,0,2015-05-27T12:02:11.867Z,2015-05-27T12:02:11.867Z
"Disabled train","Charles/MGH","Red Line - Northbound",0,0,2015-03-03T01:50:50.632Z,2015-03-03T01:50:50.632Z
"Overcrowded train","North Station","Orange Line - Southbound",0,0,2015-02-26T13:01:12.385Z,2015-02-26T13:01:12.385Z
"Delayed train","Park Street","Green Line E - Eastbound",0,0,2015-03-17T21:10:20.513Z,2015-03-17T21:10:20.513Z
"Normal conditions","Assembly","Orange Line - Northbound",0,0,2015-06-23T21:51:59.244Z,2015-06-23T21:51:59.244Z
"Train stopped between stations","Charles/MGH","Red Line - Northbound",0,1,2015-03-03T00:04:02.287Z,2015-03-03T00:04:02.287Z
"Train stopped between stations","Downtown Crossing","Red Line - Northbound",1,2,2015-02-24T22:46:31.444Z,2015-02-24T22:53:10.147Z
"Delayed train","North Station","Haverhill Line - Outbound",0,0,2015-03-18T21:43:19.281Z,2015-03-18T21:43:19.281Z
"Normal conditions","Quincy Adams","Red Line - Northbound",0,0,2015-05-01T18:16:50.346Z,2015-05-01T18:16:50.346Z
"Delayed train","Harvard Square","Red Line - Northbound",2,4,2015-02-24T22:16:21.868Z,2015-02-24T22:53:15.977Z
"Overcrowded platform","Malden Center","Orange Line - Southbound",1,0,2015-05-07T12:35:22.742Z,2015-05-07T12:48:37.283Z
"Normal conditions","Northeastern University","Green Line E - Eastbound",0,0,2015-02-27T23:03:03.248Z,2015-02-27T23:03:03.248Z
"Overcrowded train","Fenway","Green Line D - Westbound",0,0,2015-02-26T22:19:46.952Z,2015-02-26T22:19:46.952Z
"Train too crowded to board","Assembly","Orange Line - Southbound",0,0,2015-03-03T13:27:30.227Z,2015-03-03T13:27:30.227Z
"Delayed train","Quincy Center","Red Line - Southbound",0,0,2015-02-25T13:53:55.954Z,2015-02-25T13:53:55.954Z
"Normal conditions","Park Street","Red Line - Southbound",2,0,2015-03-25T19:42:50.561Z,2015-03-25T19:49:07.516Z
"Train standing by at station","Downtown Crossing","Orange Line - Southbound",0,0,2015-03-13T22:20:02.500Z,2015-03-13T22:20:02.500Z
"Delayed train","Wilmington","Lowell Line - Inbound",0,0,2015-04-06T10:32:12.605Z,2015-04-06T10:32:12.605Z
"Train stopped between stations","Park Street","Red Line - Southbound",1,0,2015-02-27T12:47:38.774Z,2015-02-27T12:51:19.795Z
"Delayed train","Park Street","Green Line E - Eastbound",1,0,2015-02-26T23:39:03.431Z,2015-02-26T23:40:13.482Z
"Delayed train","Park Street","Red Line - Northbound",0,6,2015-03-05T23:09:47.499Z,2015-03-05T23:09:47.499Z
"Train stopped between stations","Park Street","Green Line E - Westbound",0,0,2015-03-21T23:11:23.049Z,2015-03-21T23:11:23.049Z
"Delayed train","Back Bay","Orange Line - Northbound",0,0,2015-06-15T21:59:18.915Z,2015-06-15T21:59:18.915Z
"Delayed train","Wellington","Orange Line - Northbound",0,0,2015-07-29T21:32:58.430Z,2015-07-29T21:32:58.430Z
"Normal conditions","Davis","Red Line - Southbound",1,0,2015-03-03T12:58:30.445Z,2015-03-03T13:00:38.868Z
"Delayed train","Fenway","Green Line D - Eastbound",0,0,2015-03-06T20:59:36.082Z,2015-03-06T20:59:36.082Z
"Train standing by at station","Harvard Square","Red Line - Northbound",2,0,2015-05-18T22:24:11.218Z,2015-05-18T22:51:43.552Z
"Normal conditions","Forest Hills","Orange Line - Northbound",0,0,2015-04-16T15:34:56.633Z,2015-04-16T15:34:56.633Z
"Delayed train","Harvard Square","Red Line - Southbound",1,0,2015-05-18T22:13:29.413Z,2015-05-18T22:18:03.493Z
"Train too crowded to board","Central Square","Red Line - Southbound",1,0,2015-06-04T12:21:22.815Z,2015-06-04T12:27:02.796Z
"Normal conditions","Charles/MGH","Red Line - Northbound",0,0,2015-03-02T14:00:49.160Z,2015-03-02T14:00:49.160Z
"Disabled train","Boston College","Green Line B - Eastbound",0,0,2015-08-17T18:14:54.741Z,2015-08-17T18:14:54.741Z
"Delayed train","Harvard Ave.","Green Line B - Westbound",0,0,2015-02-28T06:06:02.439Z,2015-02-28T06:06:02.439Z
"Normal conditions","Boston Univ. Central","Green Line B - Eastbound",0,0,2015-08-17T18:15:35.006Z,2015-08-17T18:15:35.006Z
"Overcrowded platform","Back Bay","Orange Line - Southbound",2,0,2015-02-25T22:13:50.128Z,2015-02-25T22:36:28.773Z
"Train too crowded to board","Park Street","Green Line E - Westbound",0,0,2015-02-25T14:18:41.861Z,2015-02-25T14:18:41.861Z
"Train too crowded to board","Community College","Orange Line - Southbound",0,1,2015-03-03T14:09:39.033Z,2015-03-03T14:09:39.033Z
"Delayed train","North Station","Newburyport-Rockport Line - Outbound",0,0,2015-03-25T22:58:06.546Z,2015-03-25T22:58:06.546Z
"Normal conditions","Oak Grove","Orange Line - Southbound",0,0,2015-03-17T10:02:48.183Z,2015-03-17T10:02:48.183Z
"Delayed train","Alewife","Red Line - Northbound",0,1,2015-02-24T23:53:42.201Z,2015-02-24T23:53:42.201Z
"Delayed train","Jackson Square","Orange Line - Northbound",0,0,2015-05-29T11:50:15.723Z,2015-05-29T11:50:15.723Z
"Train standing by at station","Ashmont","Red Line - Northbound",0,0,2015-03-19T12:28:49.716Z,2015-03-19T12:28:49.716Z
"Train standing by at station","Charles/MGH","Red Line - Southbound",0,1,2015-03-25T19:37:32.375Z,2015-03-25T19:37:32.375Z
"Train stopped between stations","Quincy Center","Greenbush Line - Outbound",0,0,2015-03-05T23:15:54.430Z,2015-03-05T23:15:54.430Z
"Overcrowded platform","Downtown Crossing","Orange Line - Southbound",0,0,2015-03-05T22:41:30.124Z,2015-03-05T22:41:30.124Z
"Normal conditions","Sullivan Square","Orange Line - Southbound",0,0,2015-02-26T14:51:50.163Z,2015-02-26T14:51:50.163Z
"Normal conditions","JFK/UMass","Red Line - Northbound",0,0,2015-06-15T14:08:52.995Z,2015-06-15T14:08:52.995Z
"Train standing by at station","Charles/MGH","Red Line - Northbound",0,0,2015-03-26T23:39:37.019Z,2015-03-26T23:39:37.019Z
"Delayed train","Kendall","Red Line - Northbound",0,0,2015-02-26T23:52:48.507Z,2015-02-26T23:52:48.507Z
"Train standing by at station","Massachusetts Ave.","Orange Line - Northbound",0,0,2015-04-29T12:56:07.994Z,2015-04-29T12:56:07.994Z
"Normal conditions","Park Street","Green Line B - Westbound",0,0,2015-04-21T21:21:14.483Z,2015-04-21T21:21:14.483Z
"Delayed train","Porter Square","Red Line - Southbound",1,0,2015-05-02T18:10:52.601Z,2015-05-02T18:23:40.689Z
"Normal conditions","Ashmont","Red Line - Northbound",0,0,2015-04-12T12:50:56.189Z,2015-04-12T12:50:56.189Z
"Train stopped between stations","Downtown Crossing","Red Line - Northbound",0,0,2015-08-17T22:47:40.328Z,2015-08-17T22:47:40.328Z
"Delayed train","Wollaston","Red Line - Northbound",0,0,2015-03-02T22:34:19.581Z,2015-03-02T22:34:19.581Z
"Train standing by at station","Downtown Crossing","Orange Line - Northbound",0,0,2015-06-26T17:11:14.159Z,2015-06-26T17:11:14.159Z
"Delayed train","North Station","Green Line C - Eastbound",0,0,2015-02-25T05:31:54.098Z,2015-02-25T05:31:54.098Z
"Normal conditions","South Station","Greenbush Line - Outbound",0,0,2015-03-05T22:46:57.234Z,2015-03-05T22:46:57.234Z
"Train standing by at station","Rowley","Newburyport-Rockport Line - Inbound",0,0,2015-05-04T15:44:33.837Z,2015-05-04T15:44:33.837Z
"Delayed train","Oak Grove","Orange Line - Southbound",0,0,2015-07-29T12:29:31.999Z,2015-07-29T12:29:31.999Z
"Normal conditions","South Station","Red Line - Northbound",1,0,2015-02-26T12:57:51.923Z,2015-02-26T13:05:10.133Z
"Delayed train","Boston Univ. West","Green Line B - Eastbound",0,0,2015-07-12T20:21:02.085Z,2015-07-12T20:21:02.085Z
"Delayed train","Ruggles","Franklin Line - Outbound",0,0,2015-05-07T21:57:32.816Z,2015-05-07T21:57:32.816Z
"Normal conditions","North Station","Green Line D - Westbound",0,0,2015-02-25T20:12:15.816Z,2015-02-25T20:12:15.816Z
"Normal conditions","Washington St & Massachusetts Ave","SL5 - Inbound",0,0,2015-03-17T13:33:54.489Z,2015-03-17T13:33:54.489Z
"Overcrowded platform","Maverick","Blue Line - Southbound",0,0,2015-03-17T12:22:36.464Z,2015-03-17T12:22:36.464Z
"Delayed train","Arlington","Green Line D - Eastbound",0,0,2015-03-21T22:30:25.069Z,2015-03-21T22:30:25.069Z
"Medical emergency","Wollaston","Red Line - Northbound",0,0,2015-02-25T21:14:34.430Z,2015-02-25T21:14:34.430Z
"Delayed train","Davis","Red Line - Southbound",0,0,2015-04-30T13:11:26.907Z,2015-04-30T13:11:26.907Z
"Normal conditions","Eliot","Green Line D - Eastbound",0,0,2015-02-27T12:37:01.998Z,2015-02-27T12:37:01.998Z
"Delayed train","Park Street","Green Line D - Westbound",1,0,2015-03-04T22:43:32.035Z,2015-03-04T22:50:21.207Z
"Overcrowded train","Downtown Crossing","Orange Line - Northbound",0,0,2015-06-19T21:36:34.602Z,2015-06-19T21:36:34.602Z
"Overcrowded train","Central Square","Red Line - Northbound",1,4,2015-02-24T20:29:05.649Z,2015-02-24T20:52:19.839Z
"Train standing by at station","Harvard Square","Red Line - Southbound",2,0,2015-05-12T22:15:46.267Z,2015-05-12T22:22:59.796Z
"Train stopped between stations","Alewife","Red Line - Northbound",1,0,2015-03-11T00:14:08.195Z,2015-03-11T00:15:03.081Z
"Train stopped between stations","Forest Hills","Orange Line - Northbound",0,0,2015-07-14T22:26:40.644Z,2015-07-14T22:26:40.644Z
"Normal conditions","Alewife","Red Line - Southbound",0,0,2015-04-01T21:25:52.221Z,2015-04-01T21:25:52.221Z
"Train standing by at station","South Station","Red Line - Northbound",2,0,2015-03-19T12:19:22.773Z,2015-03-19T12:21:13.095Z
"Normal conditions","Davis","Red Line - Southbound",0,0,2015-04-06T12:42:59.893Z,2015-04-06T12:42:59.893Z
"Delayed train","Chinatown","Orange Line - Northbound",1,0,2015-02-27T22:06:58.927Z,2015-02-27T22:20:02.965Z
"Overcrowded platform","State Street","Orange Line - Northbound",35,2,2015-02-25T22:07:34.917Z,2015-02-25T22:47:51.570Z
"Train stopped between stations","Downtown Crossing","Red Line - Northbound",0,0,2015-05-14T12:23:21.865Z,2015-05-14T12:23:21.865Z
"Train too crowded to board","Park Street","Red Line - Northbound",0,0,2015-02-25T23:17:21.163Z,2015-02-25T23:17:21.163Z
"Overcrowded platform","Downtown Crossing","Orange Line - Northbound",1,0,2015-04-08T21:16:07.194Z,2015-04-08T21:19:13.962Z
"Train standing by at station","Central Square","Red Line - Southbound",3,0,2015-05-22T22:28:39.211Z,2015-05-22T22:38:42.478Z
"Normal conditions","Quincy Center","Red Line - Northbound",1,0,2015-03-02T14:13:41.581Z,2015-03-02T14:30:00.189Z
"Delayed train","Wonderland","Blue Line - Northbound",0,1,2015-02-27T02:17:17.497Z,2015-02-27T02:17:17.497Z
"Normal conditions","Park Street","Red Line - Northbound",0,0,2015-04-06T21:12:41.155Z,2015-04-06T21:12:41.155Z
"Normal conditions","Providence","Providence-Stoughton Line - Inbound",0,0,2015-04-18T21:22:54.958Z,2015-04-18T21:22:54.958Z
"Overcrowded train","Central Square","Red Line - Southbound",0,0,2015-03-16T12:17:50.659Z,2015-03-16T12:17:50.659Z
"Train stopped between stations","North Quincy","Red Line - Northbound",0,0,2015-03-02T22:37:07.944Z,2015-03-02T22:37:07.944Z
"Disabled train","Central Square","Red Line - Northbound",1,0,2015-02-27T12:33:27.504Z,2015-02-27T12:33:43.954Z
"Disabled train","Park Street","Green Line C - Eastbound",1,0,2015-03-23T12:22:41.684Z,2015-03-23T12:23:39.412Z
"Normal conditions","North Quincy","Red Line - Northbound",0,0,2015-04-02T21:29:51.534Z,2015-04-02T21:29:51.534Z
"Delayed train","Alewife","Red Line - Northbound",1,0,2015-03-02T17:01:41.142Z,2015-03-02T17:16:58.306Z
"Delayed train","South Station","Red Line - Northbound",0,0,2015-04-07T11:07:16.884Z,2015-04-07T11:07:16.884Z
"Train stopped between stations","Harvard Square","Red Line - Northbound",0,0,2015-04-29T21:38:30.733Z,2015-04-29T21:38:30.733Z
"Overcrowded train","Alewife","Red Line - Southbound",8,5,2015-02-25T12:50:15.211Z,2015-02-25T13:52:19.524Z
"Train standing by at station","North Station","Green Line E - Westbound",0,0,2015-03-11T11:45:33.360Z,2015-03-11T11:45:33.360Z
"Train stopped between stations","Charles/MGH","Red Line - Southbound",0,0,2015-03-17T14:41:03.180Z,2015-03-17T14:41:03.180Z
"Delayed train","Back Bay","Orange Line - Southbound",0,0,2015-06-12T22:58:10.006Z,2015-06-12T22:58:10.006Z
"Train too crowded to board","Oak Grove","Orange Line - Northbound",0,0,2015-02-27T22:45:24.490Z,2015-02-27T22:45:24.490Z
"Normal conditions","Cleveland Circle","Green Line C - Eastbound",0,0,2015-08-17T20:18:42.886Z,2015-08-17T20:18:42.886Z
"Normal conditions","Central Square","Red Line - Southbound",0,0,2015-03-17T22:19:39.769Z,2015-03-17T22:19:39.769Z
"Train standing by at station","Charles/MGH","Red Line - Southbound",0,0,2015-04-17T13:01:07.194Z,2015-04-17T13:01:07.194Z
"Train too crowded to board","Back Bay","Orange Line - Northbound",1,1,2015-02-27T22:20:52.784Z,2015-02-27T22:32:57.930Z
"Normal conditions","Central Square","Red Line - Southbound",2,0,2015-02-26T14:52:13.287Z,2015-02-26T14:57:25.737Z
"Overcrowded platform","Savin Hill","Red Line - Northbound",1,0,2015-02-25T13:24:20.132Z,2015-02-25T13:24:47.306Z
"Normal conditions","Ashmont","Red Line - Northbound",0,0,2015-07-23T03:23:42.969Z,2015-07-23T03:23:42.969Z
"Delayed train","Back Bay","Orange Line - Southbound",3,0,2015-03-17T22:19:31.508Z,2015-03-17T22:37:16.979Z
"Train standing by at station","North Quincy","Red Line - Northbound",0,0,2015-08-07T21:12:49.724Z,2015-08-07T21:12:49.724Z
"Delayed train","State Street","Orange Line - Northbound",5,1,2015-03-17T21:37:49.821Z,2015-03-17T21:56:55.745Z
"Overcrowded train","Downtown Crossing","Orange Line - Southbound",1,0,2015-02-26T21:52:02.511Z,2015-02-26T21:53:14.211Z
"Overcrowded train","Haymarket","Orange Line - Northbound",0,0,2015-02-27T02:41:51.714Z,2015-02-27T02:41:51.714Z
"Train standing by at station","Central Square","Red Line - Southbound",0,0,2015-04-20T13:32:43.263Z,2015-04-20T13:32:43.263Z
"Delayed train","Saint Mary Street","Green Line C - Westbound",0,0,2015-03-26T22:17:28.801Z,2015-03-26T22:17:28.801Z
"Overcrowded platform","Hynes Convention Center","Green Line B - Westbound",0,0,2015-02-26T15:52:54.880Z,2015-02-26T15:52:54.880Z
"Delayed train","Providence","Providence-Stoughton Line - Inbound",0,0,2015-08-14T10:36:18.548Z,2015-08-14T10:36:18.548Z
"Normal conditions","Lechmere","Green Line B - Westbound",0,0,2015-02-25T14:32:54.053Z,2015-02-25T14:32:54.053Z
"Train too crowded to board","Central Square","Red Line - Southbound",23,8,2015-02-25T12:48:39.733Z,2015-02-25T14:16:39.117Z
"Disabled train","Park Street","Red Line - Southbound",1,0,2015-03-09T13:31:40.863Z,2015-03-09T13:34:14.423Z
"Delayed train","Porter Square","Red Line - Northbound",0,0,2015-04-13T21:25:11.165Z,2015-04-13T21:25:11.165Z
"Normal conditions","Campello","Middleborough-Lakeville Line - Inbound",0,0,2015-03-11T13:50:45.364Z,2015-03-11T13:50:45.364Z
"Delayed train","North Station","Green Line D - Westbound",1,0,2015-02-25T05:34:24.745Z,2015-02-25T05:34:34.090Z
"Train standing by at station","Broadway","Red Line - Southbound",0,0,2015-08-03T21:32:21.341Z,2015-08-03T21:32:21.341Z
"Delayed train","Central Square","Red Line - Northbound",0,0,2015-02-25T23:00:52.984Z,2015-02-25T23:00:52.984Z
"Normal conditions","Dudley Station","SL5 - Inbound",1,0,2015-06-11T01:29:40.369Z,2015-06-11T01:29:54.113Z
"Normal conditions","Charles/MGH","Red Line - Southbound",0,0,2015-03-12T23:38:29.410Z,2015-03-12T23:38:29.410Z
"Overcrowded platform","Wollaston","Red Line - Northbound",21,3,2015-02-25T12:36:17.659Z,2015-02-25T14:22:26.563Z
"Train standing by at station","Park Street","Red Line - Northbound",0,0,2015-04-24T22:22:49.804Z,2015-04-24T22:22:49.804Z
"Delayed train","Alewife","Red Line - Southbound",0,0,2015-03-25T12:34:02.060Z,2015-03-25T12:34:02.060Z
"Overcrowded platform","Park Street","Red Line - Northbound",1,0,2015-02-25T13:12:22.893Z,2015-02-25T13:18:09.462Z
"Train too crowded to board","Central Square","Red Line - Southbound",0,0,2015-03-19T12:43:20.551Z,2015-03-19T12:43:20.551Z
"Delayed train","Davis","Red Line - Southbound",0,0,2015-03-11T12:00:50.131Z,2015-03-11T12:00:50.131Z
"Delayed train","Babcock Street","Green Line B - Westbound",1,0,2015-03-02T23:18:23.707Z,2015-03-02T23:30:49.767Z
"Train stopped between stations","Kendall","Red Line - Southbound",0,0,2015-02-27T01:55:29.250Z,2015-02-27T01:55:29.250Z
"Delayed train","South Station","Red Line - Northbound",0,0,2015-03-05T23:17:39.212Z,2015-03-05T23:17:39.212Z
"Delayed train","Walpole","Franklin Line - Inbound",0,0,2015-06-02T10:55:01.443Z,2015-06-02T10:55:01.443Z
"Overcrowded train","Copley","Green Line D - Westbound",0,0,2015-02-25T20:54:43.296Z,2015-02-25T20:54:43.296Z
"Train too crowded to board","Coolidge Corner","Green Line C - Eastbound",0,0,2015-03-05T13:17:33.514Z,2015-03-05T13:17:33.514Z
"Train standing by at station","Lechmere","Green Line E - Westbound",0,0,2015-03-21T16:25:25.743Z,2015-03-21T16:25:25.743Z
"Normal conditions","North Station","Green Line C - Eastbound",0,0,2015-02-27T12:13:51.122Z,2015-02-27T12:13:51.122Z
"Delayed train","State","Blue Line - Northbound",0,0,2015-04-21T00:43:26.941Z,2015-04-21T00:43:26.941Z
"Delayed train","Assembly","Orange Line - Southbound",0,0,2015-02-27T00:27:47.722Z,2015-02-27T00:27:47.722Z
"Train stopped between stations","Central Square","Red Line - Northbound",0,0,2015-05-11T21:38:23.811Z,2015-05-11T21:38:23.811Z
"Train too crowded to board","Alewife","Red Line - Southbound",0,0,2015-03-04T13:09:12.717Z,2015-03-04T13:09:12.717Z
"Normal conditions","Kendall","Red Line - Northbound",1,0,2015-03-02T17:42:17.558Z,2015-03-02T17:47:43.851Z
"Train too crowded to board","Park Street","Red Line - Southbound",0,0,2015-04-30T12:50:52.268Z,2015-04-30T12:50:52.268Z
"Delayed train","Broadway","Red Line - Northbound",0,0,2015-03-02T22:07:34.465Z,2015-03-02T22:07:34.465Z
"Normal conditions","Kendall","Red Line - Southbound",0,0,2015-04-13T20:54:22.498Z,2015-04-13T20:54:22.498Z
"Train too crowded to board","Downtown Crossing","Red Line - Southbound",0,0,2015-05-18T22:51:15.001Z,2015-05-18T22:51:15.001Z
"Delayed train","Downtown Crossing","Red Line - Northbound",0,0,2015-07-25T17:11:50.270Z,2015-07-25T17:11:50.270Z
"Overcrowded train","Central Square","Red Line - Southbound",0,0,2015-02-27T17:19:38.786Z,2015-02-27T17:19:38.786Z
"Delayed train","JFK/UMass","Red Line - Northbound",1,0,2015-02-25T15:41:14.160Z,2015-02-25T15:42:38.510Z
"Normal conditions","Park Street","Red Line - Northbound",0,0,2015-03-15T17:06:49.267Z,2015-03-15T17:06:49.267Z
"Delayed train","Fields Corner","Red Line - Southbound",0,0,2015-02-28T02:05:16.940Z,2015-02-28T02:05:16.940Z
"Train too crowded to board","State Street","Orange Line - Northbound",1,0,2015-02-27T22:18:01.081Z,2015-02-27T22:19:27.978Z
